food_name,unit_name,calories_per_unit,protein_per_unit
쌀밥,공기,300,6.0
현미밥,공기,320,7.0
흑미밥,공기,310,6.5
잡곡밥,공기,330,8.0
보리밥,공기,290,5.5
콩밥,공기,340,10.0
볶음밥,접시,600,12.0
김치볶음밥,접시,550,10.0
새우볶음밥,접시,580,14.0
오므라이스,접시,700,15.0
카레라이스,접시,650,12.0
짜장밥,접시,750,13.0
비빔밥,그릇,550,15.0
돌솥비빔밥,그릇,600,16.0
제육덮밥,그릇,700,25.0
오징어덮밥,그릇,650,20.0
불고기덮밥,그릇,680,22.0
회덮밥,그릇,500,25.0
김밥,줄,450,10.0
참치김밥,줄,550,15.0
치즈김밥,줄,500,12.0
소고기김밥,줄,520,16.0
돈까스김밥,줄,600,14.0
삼각김밥(참치),개,180,4.0
삼각김밥(전주),개,170,3.5
유부초밥,개,80,2.0
주먹밥,개,200,5.0
떡볶이,인분,500,10.0
순대,인분,400,15.0
튀김(모듬),인분,450,5.0
라면,봉지,500,10.0
컵라면(소),개,250,5.0
컵라면(대),개,450,9.0
짜파게티,봉지,610,11.0
불닭볶음면,봉지,530,12.0
비빔면,봉지,530,9.0
우동,그릇,400,10.0
냉우동,그릇,380,9.0
짜장면,그릇,800,20.0
간짜장,그릇,850,22.0
짬뽕,그릇,700,25.0
쟁반짜장,인분,900,24.0
기스면,그릇,600,15.0
울면,그릇,650,18.0
쌀국수,그릇,350,15.0
팟타이,접시,600,20.0
스파게티(토마토),접시,500,15.0
스파게티(크림),접시,700,18.0
스파게티(알리오),접시,600,12.0
물냉면,그릇,450,12.0
비빔냉면,그릇,500,14.0
쫄면,그릇,550,13.0
막국수,그릇,500,15.0
잔치국수,그릇,350,12.0
비빔국수,그릇,450,10.0
칼국수,그릇,450,15.0
바지락칼국수,그릇,500,20.0
들깨칼국수,그릇,600,18.0
수제비,그릇,450,12.0
마라탕,인분,800,25.0
닭가슴살,덩어리,165,31.0
돼지목살,인분,550,35.0
삼겹살,인분,680,34.0
오겹살,인분,700,34.0
항정살,인분,750,30.0
갈매기살,인분,500,36.0
돼지갈비,인분,650,32.0
소갈비,인분,700,35.0
LA갈비,인분,680,34.0
소고기구이,인분,400,30.0
소불고기,접시,400,28.0
돼지불고기,접시,450,25.0
제육볶음,접시,450,25.0
닭갈비,인분,550,30.0
찜닭,인분,600,35.0
닭볶음탕,인분,580,32.0
오리주물럭,인분,650,28.0
오리로스,인분,600,30.0
훈제오리,인분,550,25.0
곱창구이,인분,800,20.0
막창구이,인분,750,22.0
대창구이,인분,900,15.0
소막창,인분,700,25.0
곱창전골,대접,650,20.0
족발,인분,600,35.0
매운족발,인분,650,34.0
보쌈,인분,500,30.0
탕수육,인분,450,12.0
깐풍기,인분,500,15.0
돈까스,장,550,20.0
고등어구이,토막,300,25.0
갈치구이,토막,250,20.0
꽁치구이,마리,200,18.0
조기구이,마리,150,15.0
삼치구이,토막,280,22.0
연어구이,토막,250,30.0
장어구이,인분,600,40.0
오징어볶음,접시,350,20.0
낙지볶음,접시,300,18.0
쭈꾸미볶음,접시,320,19.0
해물찜,인분,400,35.0
아구찜,인분,350,30.0
알탕,대접,350,25.0
동태탕,대접,300,22.0
해물파전,장,500,15.0
김치전,장,450,8.0
감자전,장,400,5.0
녹두전,장,450,10.0
생선회(모듬),접시,300,40.0
연어회,접시,350,35.0
참치회,접시,250,38.0
광어회,접시,200,35.0
우럭회,접시,220,33.0
새우튀김,개,80,3.0
오징어튀김,개,70,2.5
쥐포,장,100,15.0
마른오징어,마리,300,45.0
조미노가리,마리,80,12.0
참치캔,캔,200,18.0
골뱅이무침,접시,350,20.0
김치찌개,대접,450,20.0
된장찌개,대접,300,15.0
청국장찌개,대접,350,22.0
순두부찌개,대접,350,20.0
부대찌개,대접,550,25.0
동태찌개,대접,320,25.0
비지찌개,대접,300,20.0
고추장찌개,대접,450,18.0
미역국,대접,150,5.0
소고기무국,대접,200,15.0
콩나물국,대접,50,3.0
북엇국,대접,150,12.0
시금치된장국,대접,100,4.0
아욱국,대접,110,5.0
배추된장국,대접,90,3.0
뼈해장국,그릇,600,40.0
순대국,그릇,550,30.0
돼지국밥,그릇,600,35.0
콩나물국밥,그릇,400,15.0
수육국밥,그릇,550,32.0
설렁탕,그릇,420,25.0
곰탕,그릇,450,28.0
꼬리곰탕,그릇,500,35.0
도가니탕,그릇,480,30.0
갈비탕,그릇,500,30.0
육개장,그릇,400,25.0
닭곰탕,그릇,350,25.0
삼계탕,그릇,900,60.0
추어탕,그릇,450,25.0
매운탕,그릇,350,20.0
배추김치,종지,15,1.0
깍두기,종지,20,0.5
총각김치,종지,25,0.8
열무김치,종지,15,0.5
파김치,종지,30,1.0
갓김치,종지,25,1.0
동치미,대접,50,1.0
백김치,종지,15,0.5
오이소박이,종지,20,0.5
무생채,종지,20,0.5
콩나물무침,종지,30,2.0
시금치나물,종지,30,2.0
고사리나물,종지,40,2.0
도라지무침,종지,35,1.0
취나물,종지,35,1.5
미역줄기볶음,종지,50,1.5
어묵볶음,종지,120,5.0
멸치볶음,종지,100,8.0
진미채볶음,종지,130,6.0
쥐포볶음,종지,140,7.0
콩자반,종지,80,6.0
연근조림,종지,70,2.0
우엉조림,종지,60,1.5
감자조림,종지,90,2.0
메추리알장조림,종지,150,8.0
소고기장조림,종지,180,15.0
계란말이,조각,50,4.0
계란찜,뚝배기,150,12.0
두부부침,조각,80,7.0
두부조림,조각,90,7.0
애호박볶음,종지,40,1.0
버섯볶음,종지,50,2.0
소시지볶음,종지,150,5.0
동그랑땡,개,60,3.0
너비아니,조각,80,4.0
햄구이,조각,70,3.0
스팸구이,조각,90,3.5
베이컨구이,줄,45,3.0
잡채,접시,250,4.0
떡갈비,조각,150,8.0
후라이드치킨,조각,250,12.0
양념치킨,조각,280,10.0
간장치킨,조각,270,11.0
구운치킨,조각,180,15.0
닭강정,접시,500,18.0
피자(치즈),조각,250,10.0
피자(페퍼로니),조각,280,11.0
피자(불고기),조각,320,13.0
피자(포테이토),조각,350,10.0
피자(콤비네이션),조각,300,12.0
불고기버거,개,450,20.0
치즈버거,개,500,25.0
치킨버거,개,480,22.0
새우버거,개,420,15.0
싸이버거,개,550,28.0
감자튀김,인분,350,4.0
치즈스틱,개,80,3.0
치킨너겟,개,50,3.0
해쉬브라운,개,150,2.0
핫도그,개,250,6.0
샌드위치(에그),개,350,12.0
샌드위치(햄치즈),개,380,15.0
토스트,개,400,14.0
식빵,조각,100,3.0
모닝빵,개,80,2.0
베이글,개,280,9.0
크루아상,개,250,4.0
소보로빵,개,300,5.0
단팥빵,개,280,6.0
슈크림빵,개,260,5.0
조각케이크(생크림),조각,350,4.0
조각케이크(초코),조각,400,5.0
조각케이크(치즈),조각,450,6.0
마카롱,개,120,2.0
에그타르트,개,200,4.0
와플,개,350,5.0
초코파이,개,170,2.0
초콜릿,조각,50,0.5
아이스크림(콘),개,250,4.0
팥빙수,그릇,400,8.0
사과,개,140,0.8
배,개,100,0.5
복숭아,개,90,1.0
포도,송이,150,1.5
수박,조각,50,0.5
멜론,조각,60,0.5
참외,개,80,1.0
딸기,10알,40,0.5
토마토,개,35,1.0
방울토마토,10알,15,0.5
귤,개,40,0.5
오렌지,개,60,1.0
자몽,개,80,1.0
레몬,개,20,0.5
바나나,개,105,1.3
파인애플,조각,50,0.5
키위,개,45,1.0
망고,개,130,1.0
블루베리,100g,50,0.5
체리,10알,40,0.5
감,개,80,0.5
곶감,개,70,0.5
단호박,조각,50,1.0
고구마,개,130,1.5
감자,개,100,2.0
옥수수,개,150,4.0
양배추쌈,접시,30,1.0
상추쌈,접시,10,0.5
샐러드(닭가슴살),접시,250,25.0
샐러드(연어),접시,300,20.0
생수,잔,0,0.0
탄산수,잔,0,0.0
콜라,캔,140,0.0
제로콜라,캔,0,0.0
사이다,캔,130,0.0
환타,캔,150,0.0
이온음료,캔,80,0.0
에너지음료,캔,110,0.5
오렌지주스,잔,110,1.0
사과주스,잔,120,0.5
포도주스,잔,140,0.5
토마토주스,잔,90,1.5
알로에주스,잔,100,0.0
식혜,캔,150,1.0
수정과,잔,130,0.5
아메리카노,잔,10,0.5
카페라떼,잔,150,7.0
바닐라라떼,잔,200,7.0
카라멜마끼아또,잔,250,7.0
카페모카,잔,280,8.0
믹스커피,잔,50,0.0
블랙커피,잔,10,0.0
녹차,잔,5,0.0
홍차,잔,5,0.0
밀크티,잔,180,5.0
유자차,잔,120,0.0
카모마일,잔,0,0.0
우유,팩(200ml),130,6.0
두유,팩(200ml),120,7.0
초코우유,팩(200ml),160,5.0
딸기우유,팩(200ml),150,5.0
바나나우유,팩(200ml),200,6.0
요구르트,병(65ml),45,1.0
마시는요거트,병(150ml),130,4.0
소주,잔,60,0.0
맥주,캔(500ml),240,2.0
막걸리,잔,100,2.0
레드와인,잔,120,0.5
화이트와인,잔,110,0.5
위스키,잔(30ml),70,0.0
